,Make,Price,Year,Kilometer,Fuel Type
610,Honda,400000,2016,50000,Petrol
611,Mercedes-Benz,6975000,2022,2000,Petrol
612,Audi,745000,2013,72000,Diesel
613,Mercedes-Benz,5400000,2016,16000,Diesel
614,Mercedes-Benz,3700000,2015,103890,Diesel
615,Maruti Suzuki,445000,2018,71000,Petrol
616,Mahindra,1475000,2021,12000,Diesel
617,Toyota,2800000,2016,93000,Diesel
618,Hyundai,190000,2013,63000,Petrol
619,Maruti Suzuki,600000,2020,10000,Petrol
620,Kia,1835000,2020,33828,Diesel
621,Maruti Suzuki,550000,2019,48000,CNG
622,Maruti Suzuki,715000,2017,71000,Diesel
623,Mahindra,2540000,2022,18000,Diesel
624,Maruti Suzuki,525000,2019,50000,CNG
625,Hyundai,425000,2015,48000,Petrol
626,Hyundai,795000,2022,4000,Petrol
627,Honda,269000,2010,73000,Petrol
628,Toyota,1450000,2013,170669,Diesel
629,Hyundai,565000,2014,68000,Diesel
630,BMW,2550000,2015,70000,Diesel
631,Hyundai,529000,2015,57654,Petrol
632,Maruti Suzuki,400000,2019,22000,Petrol
633,Volkswagen,360000,2012,80000,Diesel
634,Maruti Suzuki,975000,2019,41792,Petrol
635,BMW,2600000,2017,41000,Diesel
636,Mercedes-Benz,2390000,2013,107021,Diesel
637,Kia,1550000,2019,17000,Petrol
638,Maruti Suzuki,430000,2019,57993,Petrol
639,Tata,1275000,2021,18000,Electric
640,Maruti Suzuki,600000,2018,32000,Petrol
641,Toyota,1650000,2018,25914,Petrol
642,Jaguar,3350000,2014,49235,Diesel
643,Audi,9400000,2022,4500,Petrol
644,Maruti Suzuki,250000,2014,114000,Petrol
645,Mahindra,994999,2016,105000,Diesel
646,Maruti Suzuki,675000,2016,45000,Diesel
647,Maruti Suzuki,455000,2014,30183,Petrol
648,Volkswagen,375000,2012,78000,Diesel
649,Maruti Suzuki,345000,2016,73190,Petrol
650,BMW,4700000,2022,13120,Petrol
651,Hyundai,700000,2014,64000,Petrol
652,Honda,499000,2014,140000,Diesel
653,Maruti Suzuki,590000,2015,39000,Petrol
654,Nissan,490000,2014,56918,Petrol
655,Maruti Suzuki,695000,2018,55000,Diesel
656,Hyundai,1025000,2019,42000,Diesel
657,Volkswagen,3375000,2021,25000,Petrol
658,Toyota,2250000,2019,28000,Diesel
659,Mercedes-Benz,2650000,2018,43000,Diesel
660,Maruti Suzuki,715000,2021,16000,Petrol
661,Hyundai,1200000,2019,27657,Diesel
662,Hyundai,275000,2012,30000,Petrol
663,Honda,445000,2012,111000,Petrol
664,Mercedes-Benz,1850000,2016,37600,Diesel
665,Maruti Suzuki,665000,2017,48000,Diesel
666,Hyundai,1090000,2019,37000,Diesel
667,Mercedes-Benz,5500000,2015,54000,Diesel
668,Audi,2400000,2017,81802,Diesel
669,Hyundai,1085000,2018,45915,Diesel
670,Hyundai,2140000,2021,24000,Petrol
671,Honda,795000,2019,22224,Petrol
672,Maruti Suzuki,1080000,2021,38000,CNG
673,Honda,628000,2018,53848,Petrol
674,BMW,1550000,2013,104264,Diesel
675,Mercedes-Benz,2400000,2016,61159,Petrol
676,Honda,595000,2015,72000,Petrol
677,Land Rover,3450000,2016,29000,Diesel
678,Honda,819999,2018,42000,Petrol
679,Audi,1490000,2012,40000,Diesel
680,Mahindra,950000,2020,57400,Diesel
681,Jaguar,3750000,2019,13500,Diesel
682,Mercedes-Benz,4950000,2021,12400,Petrol
683,Jeep,2950000,2021,38000,Diesel
684,MG,1625000,2019,7000,Petrol
685,Toyota,1290000,2012,121000,Diesel
686,Toyota,625000,2015,76000,Diesel
687,Mahindra,1490000,2018,50000,Diesel
688,Hyundai,325000,2013,46721,Petrol
689,Mahindra,1190000,2017,41470,Diesel
690,Mahindra,625000,2013,170000,Diesel
691,Land Rover,5375000,2014,80000,Diesel
692,Honda,1138000,2018,6000,Petrol
693,Audi,4250000,2021,17000,Petrol
694,Honda,365000,2014,31000,Petrol
695,Chevrolet,475000,2014,73265,Diesel
696,Hyundai,1225000,2019,47000,Diesel
697,Maruti Suzuki,725000,2017,42000,Diesel
698,Mercedes-Benz,2450000,2017,25000,Diesel
699,Hyundai,225000,2009,140000,Diesel
700,Maruti Suzuki,695000,2018,68818,Petrol
701,Toyota,2200000,2018,57000,Diesel
702,Honda,950000,2020,39000,Diesel
703,Toyota,2598000,2022,12050,Petrol
704,Honda,585000,2017,24100,Petrol
705,Ford,434999,2017,23000,Petrol
706,Maruti Suzuki,295000,2009,185000,Diesel
707,Maruti Suzuki,910000,2019,76000,Diesel
708,Maruti Suzuki,565000,2020,47000,Petrol
709,Toyota,1050000,2021,1910,Petrol
710,Hyundai,990000,2019,23000,Diesel
711,Audi,2590000,2020,36978,Diesel
712,Mahindra,1000000,2016,33000,Diesel
713,Hyundai,254999,2012,18954,Petrol
714,Hyundai,598000,2015,58200,Petrol
715,Mahindra,850000,2018,83000,Diesel
716,Hyundai,560000,2016,80000,Diesel
717,Audi,975000,2011,75000,Diesel
718,Audi,2600000,2017,64000,Diesel
719,Skoda,745000,2016,117048,Diesel
720,Hyundai,495000,2017,47000,Petrol
721,Audi,2450000,2018,43290,Petrol
722,Honda,250000,2013,70000,Petrol
723,Mercedes-Benz,2850000,2016,7000,Diesel
724,Mahindra,925000,2016,150000,Diesel
725,Toyota,1075000,2013,125000,Diesel
726,Mercedes-Benz,6225000,2019,42079,Diesel
727,Jaguar,2650000,2015,62645,Diesel
728,Audi,1500000,2014,69000,Diesel
729,Jaguar,2800000,2011,70662,Petrol
730,Mitsubishi,625000,2011,40000,Diesel
731,Toyota,325000,2011,101347,Petrol
732,Mahindra,1485000,2021,36700,Diesel
733,Audi,1650000,2012,240000,Diesel
734,Audi,1800000,2014,76529,Diesel
735,Toyota,1290000,2014,85000,Diesel
736,Nissan,600000,2016,99000,Diesel
737,Hyundai,436000,2014,37959,Petrol
738,Toyota,4300000,2021,60000,Diesel
739,Datsun,270000,2017,27000,Petrol
740,Chevrolet,320000,2011,75000,Diesel
741,Hyundai,1911000,2022,1300,Petrol
742,BMW,8600000,2020,21696,Diesel
743,Mercedes-Benz,3900000,2019,33000,Diesel
744,Volvo,2000000,2016,6000,Diesel
745,Hyundai,465000,2019,19000,Petrol
746,Honda,875000,2019,58618,Petrol
747,MINI,3200000,2017,10500,Petrol
748,Mahindra,850000,2019,85641,Diesel
749,Renault,426999,2020,41669,Petrol
750,Mercedes-Benz,9200000,2022,10000,Diesel
751,Hyundai,1035000,2018,36000,Diesel
752,Maruti Suzuki,695000,2018,31000,Petrol
753,BMW,3675000,2020,37180,Diesel
754,Mahindra,1700000,2021,14000,Diesel
755,Tata,449000,2018,53512,Petrol
756,Mercedes-Benz,5400000,2022,4600,Diesel
757,MG,3950000,2021,40000,Diesel
758,Hyundai,565000,2015,65000,Diesel
759,BMW,3775000,2019,32963,Diesel
760,Mercedes-Benz,1275000,2012,101000,Diesel
761,Renault,375000,2018,14000,Petrol
762,Maruti Suzuki,949000,2018,50500,Diesel
763,Maruti Suzuki,775000,2019,80849,Diesel
764,Audi,1800000,2014,19868,Diesel
765,Honda,825000,2016,45000,Petrol
766,Hyundai,509999,2019,30858,Petrol
767,Mahindra,1350000,2018,56500,Diesel
768,Hyundai,650000,2020,37003,Petrol
769,Honda,1490000,2021,11000,Diesel
770,Maruti Suzuki,545000,2016,53000,Petrol
771,BMW,2950000,2018,75000,Diesel
772,Mercedes-Benz,1150000,2010,120000,Diesel
773,Audi,1850000,2013,44087,Diesel
774,BMW,3995000,2016,39000,Diesel
775,Mercedes-Benz,1750000,2014,59000,Diesel
776,Audi,5500000,2017,45000,Diesel
777,Nissan,360000,2013,92000,Diesel
778,Ford,625000,2019,48422,Petrol
779,BMW,4150000,2019,29000,Diesel
780,Mahindra,1698999,2021,37500,Diesel
781,Maruti Suzuki,484999,2018,62000,Petrol
782,Audi,4250000,2020,17000,Petrol
783,Maruti Suzuki,800000,2017,76642,CNG
784,Hyundai,1275000,2019,44000,Petrol
785,Porsche,9500000,2018,20000,Petrol
786,BMW,1375000,2013,102000,Diesel
787,Hyundai,1700000,2022,9000,Diesel
788,Mahindra,500000,2013,135000,Diesel
789,Mercedes-Benz,6800000,2020,14500,Diesel
790,Maruti Suzuki,715000,2019,31552,Petrol
791,Maruti Suzuki,380000,2016,70000,Petrol
792,Honda,375000,2016,35134,Petrol
793,Land Rover,7200000,2016,45000,Diesel
794,Mercedes-Benz,8190000,2020,18000,Diesel
795,Maruti Suzuki,695000,2018,8000,Petrol
796,Hyundai,875000,2016,62125,Diesel
797,Land Rover,3500000,2016,78000,Diesel
798,Hyundai,685000,2018,64300,Petrol
799,Tata,1875000,2021,28000,Diesel
800,Skoda,1685000,2017,28600,Petrol
801,Audi,2550000,2015,69500,Diesel
802,Hyundai,869999,2017,70000,Diesel
803,Mahindra,875000,2018,24000,Diesel
804,Audi,1390000,2012,69500,Diesel
805,Maruti Suzuki,825000,2019,25500,Diesel
806,Maruti Suzuki,785000,2017,20000,Petrol
807,Mercedes-Benz,2145000,2016,55000,Diesel
808,Maruti Suzuki,590000,2021,8640,CNG
809,Hyundai,335000,2013,80500,Petrol
810,Jaguar,2550000,2013,65000,Petrol
811,Mercedes-Benz,6500000,2019,5750,Diesel
812,Volkswagen,490000,2015,50000,Petrol
813,BMW,5950000,2017,28000,Diesel
814,Hyundai,250000,2011,75431,Petrol
815,Renault,420000,2017,43000,Petrol
816,Hyundai,2395000,2019,44876,Diesel
817,Hyundai,360000,2013,95610,Diesel
818,Nissan,325000,2013,51000,Diesel
819,Land Rover,2300000,2013,110000,Diesel
820,Maruti Suzuki,642000,2014,53693,CNG
821,Hyundai,290000,2018,70000,Petrol
822,Hyundai,390000,2014,57000,Petrol
823,Toyota,890000,2014,63000,Petrol
824,Honda,100000,2002,65494,Petrol
825,Maruti Suzuki,440000,2016,53807,Petrol
826,Maruti Suzuki,721000,2018,46000,Petrol
827,Skoda,1515000,2018,67546,Petrol
828,Land Rover,7000000,2021,14500,Petrol
829,Honda,949000,2018,37100,Petrol
830,Mercedes-Benz,5500000,2019,30000,Diesel
831,Renault,319000,2018,89059,Petrol
832,Maruti Suzuki,459999,2013,77000,Diesel
833,Volvo,2100000,2018,42000,Diesel
834,Maruti Suzuki,685000,2017,58146,Petrol
835,MINI,3900000,2020,13000,Petrol
836,Toyota,300000,2013,75000,Diesel
837,Porsche,6350000,2016,20500,Diesel
838,Mercedes-Benz,5400000,2018,50500,Diesel
839,Mercedes-Benz,4100000,2022,3826,Diesel
840,Mercedes-Benz,6875000,2019,53000,Diesel
841,Hyundai,1115000,2018,37000,Petrol
842,Honda,761000,2017,38000,Petrol
843,Maruti Suzuki,825000,2021,8499,Petrol
844,Hyundai,650000,2016,61181,Diesel
845,Honda,565000,2017,45000,Petrol
846,Mercedes-Benz,750000,2007,102000,Petrol
847,Hyundai,685000,2021,9232,Petrol
848,Maruti Suzuki,135000,2008,72542,Petrol
849,Hyundai,609000,2018,42601,Petrol
850,Mahindra,365000,2009,90000,Diesel
851,Audi,5175000,2016,65000,Diesel
852,Toyota,2175000,2018,40000,Diesel
853,Ssangyong,675000,2013,106223,Diesel
854,BMW,1400000,2009,115000,Diesel
855,Honda,480000,2016,50000,Petrol
856,BMW,5800000,2020,30000,Diesel
857,Audi,6700000,2018,39850,Diesel
858,Hyundai,625000,2014,80000,Diesel
859,Isuzu,1791000,2017,96095,Diesel
860,Maruti Suzuki,422000,2018,12768,Petrol
861,Audi,4200000,2021,12321,Petrol
862,Toyota,1295000,2018,65100,Petrol
863,Hyundai,495000,2017,30000,Petrol
864,Tata,585000,2019,12000,Petrol
865,Mercedes-Benz,3950000,2019,33000,Diesel
866,Mercedes-Benz,7475000,2021,13000,Diesel
867,Skoda,425000,2013,57000,Petrol
868,BMW,975000,2011,61000,Diesel
869,Mercedes-Benz,4150000,2017,48000,Diesel
870,Audi,2475000,2012,118000,Diesel
871,BMW,2990000,2017,44000,Diesel
872,BMW,3550000,2015,59000,Diesel
873,Renault,280000,2013,99000,Diesel
874,Mercedes-Benz,1500000,2009,75000,Petrol
875,BMW,5100000,2019,79000,Diesel
876,Toyota,825000,2010,114000,Diesel
877,Maruti Suzuki,310000,2014,82000,CNG
878,Honda,595000,2016,80000,Petrol
879,Toyota,3100000,2014,65000,Diesel
880,Jeep,1240000,2017,57000,Diesel
881,Maruti Suzuki,328000,2018,26807,Petrol
882,Hyundai,625000,2018,23000,Petrol
883,Maruti Suzuki,409999,2015,112000,Diesel
884,Maruti Suzuki,975000,2022,5000,Petrol
885,Maruti Suzuki,545000,2015,70000,Petrol
886,Volkswagen,699000,2019,53929,Petrol
887,Maruti Suzuki,390000,2014,49580,Petrol
888,Toyota,680000,2014,85000,Diesel
889,Maruti Suzuki,625000,2015,61000,Diesel
890,Maruti Suzuki,235000,2012,35000,LPG
891,Mahindra,951000,2016,42000,Diesel
892,Honda,550000,2011,69000,Petrol
893,Jeep,1350000,2017,70000,Petrol
894,Hyundai,325000,2013,15780,Petrol
895,Audi,1150000,2012,40031,Diesel
896,Audi,2600000,2015,46000,Diesel
897,Maruti Suzuki,640000,2016,50800,Petrol
898,Tata,1250000,2021,3000,Electric
899,Toyota,450000,2011,95000,Petrol
900,BMW,750000,2010,112000,Diesel
901,Audi,5300000,2020,36000,Petrol
902,Volvo,5800000,2019,3500,Diesel
903,Maruti Suzuki,801000,2018,30000,Diesel
904,Volkswagen,310000,2009,107879,Diesel
905,Mahindra,1090000,2017,19000,Diesel
906,Maruti Suzuki,245000,2014,31100,Petrol
907,Honda,475000,2014,65000,Petrol
908,Toyota,2800000,2017,49000,Diesel
909,Tata,1450000,2022,5000,Electric
910,Audi,2950000,2020,11000,Diesel
911,Hyundai,545000,2019,28000,Petrol
912,Ford,3975000,2021,9400,Diesel
913,Mercedes-Benz,4200000,2017,77000,Diesel
914,Hyundai,434999,2017,27000,Diesel
915,Renault,315000,2017,15507,Petrol
916,Ssangyong,900000,2016,70000,Diesel
917,Honda,550000,2015,44000,Petrol
918,BMW,4400000,2018,70000,Diesel
919,Toyota,1600000,2015,145000,Diesel
920,Datsun,198000,2017,24000,Petrol
921,Hyundai,225000,2014,47721,LPG
922,Hyundai,310000,2011,26000,Petrol
923,Renault,315000,2017,15507,Petrol
924,Honda,775000,2018,39000,Petrol
925,Maruti Suzuki,625000,2017,58000,Petrol
926,Hyundai,775000,2015,82000,Diesel
927,Toyota,1549000,2018,95315,Diesel
928,BMW,1679000,2016,46000,Diesel
929,Maruti Suzuki,725000,2019,11874,Petrol
930,Hyundai,540000,2014,86000,Diesel
931,Volkswagen,350000,2014,111000,Diesel
932,Volvo,1689999,2015,50000,Diesel
933,Nissan,625000,2021,28000,Petrol
934,Maruti Suzuki,475000,2019,25000,Petrol
935,Kia,1650000,2021,12000,Diesel
936,Hyundai,409999,2019,32000,Petrol
937,Hyundai,275000,2011,45000,Petrol
938,Land Rover,5900000,2014,70000,Diesel
939,Toyota,2100000,2017,112000,Diesel
940,BMW,2750000,2017,51800,Diesel
941,Maruti Suzuki,545000,2017,22000,Petrol
942,Tata,740000,2015,155000,Diesel
943,Mercedes-Benz,2400000,2016,60000,Petrol
944,BMW,4500000,2018,23000,Diesel
945,Maruti Suzuki,465000,2014,75000,Petrol
946,Fiat,375000,2014,71000,Diesel
947,Audi,2900000,2017,64000,Diesel
948,Honda,795000,2018,45326,Petrol
949,Mercedes-Benz,5250000,2020,28079,Diesel
950,Audi,2900000,2019,15529,Diesel
951,Mercedes-Benz,2250000,2015,43200,Petrol
952,Honda,1050000,2017,29386,Petrol
953,Hyundai,765000,2021,18105,Petrol
954,Maruti Suzuki,675000,2017,125372,Diesel
955,Audi,2400000,2015,100000,Diesel
956,Maruti Suzuki,509999,2019,40000,Petrol
957,Mahindra,2750000,2022,31000,Diesel
958,Audi,2600000,2012,42000,Diesel
959,Honda,495000,2012,65001,Petrol
960,Audi,2400000,2014,42533,Diesel
961,Hyundai,495000,2018,45000,Petrol
962,Land Rover,4200000,2018,36000,Diesel
963,Toyota,2550000,2017,44000,Diesel
964,Maruti Suzuki,480000,2016,85000,Diesel
965,Hyundai,1750000,2021,17000,Diesel
966,Maruti Suzuki,850000,2019,72000,Diesel
967,Hyundai,434999,2019,34400,Petrol
968,Hyundai,1070000,2021,8800,Petrol
969,Honda,1530000,2022,2000,Petrol
970,Hyundai,1598000,2020,19700,Diesel
971,Hyundai,645000,2016,45000,Petrol
972,Mercedes-Benz,1100000,2012,73000,Diesel
973,Maruti Suzuki,650000,2017,76000,Diesel
974,Volkswagen,545000,2013,110000,Diesel
975,Honda,1095000,2022,2700,Petrol
976,Toyota,1975000,2018,75000,Diesel
977,Rolls-Royce,18000000,2011,60000,Petrol
978,Audi,1839000,2017,110000,Diesel
979,Skoda,1500000,2016,70000,Petrol
980,Audi,2100000,2017,42000,Diesel
981,Volkswagen,345000,2015,70000,Diesel
982,Honda,850000,2018,52890,Petrol
983,Hyundai,1425000,2018,72870,Diesel
984,Hyundai,675000,2017,48591,Petrol
985,Mahindra,925000,2019,60888,Diesel
986,Hyundai,210000,2014,48000,Petrol
987,Tata,760000,2018,20251,Petrol
988,Hyundai,640000,2015,49000,Diesel
989,Maruti Suzuki,340000,2013,66000,Petrol
990,Land Rover,5995000,2020,54200,Diesel
991,Nissan,550000,2013,33000,Petrol
992,Honda,695000,2017,51292,Petrol
993,Ford,465000,2015,89000,Diesel
994,Toyota,735000,2019,55000,Petrol
995,Mercedes-Benz,1300000,1988,71000,Petrol
996,Hyundai,1848999,2021,20000,Diesel
997,Honda,685000,2016,68500,Petrol
998,Hyundai,875000,2014,99000,Diesel
999,Toyota,2039999,2018,110000,Diesel
1000,Toyota,700000,2019,19244,Petrol
1001,Maruti Suzuki,550000,2020,19000,Petrol
1002,Hyundai,825000,2015,75000,Diesel
1003,Toyota,3100000,2021,29000,Diesel
1004,Audi,1400000,2013,60000,Diesel
1005,Maruti Suzuki,425000,2015,80000,Petrol
1006,Lexus,4375000,2018,54500,Petrol
1007,Toyota,3000000,2021,38000,Diesel
1008,Mercedes-Benz,6600000,2021,16785,Petrol
1009,Maruti Suzuki,640000,2016,52000,Diesel
1010,Hyundai,275000,2013,76000,CNG
1011,Hyundai,695000,2019,42678,Petrol
1012,Honda,245000,2010,95000,Petrol
1013,Renault,690000,2016,65000,Diesel
1014,Volkswagen,1500000,2021,31000,Petrol
1015,Maruti Suzuki,270000,2014,82682,Petrol
1016,Hyundai,545000,2016,70500,Diesel
1017,MG,1875000,2021,10000,Petrol
1018,Renault,254999,2016,57159,Petrol
1019,BMW,2000000,2014,82000,Diesel
1020,Land Rover,2785000,2016,120000,Diesel
1021,Mahindra,1800000,2021,17000,Diesel
1022,Honda,475000,2012,40000,Petrol
1023,Hyundai,650000,2020,58100,Petrol
1024,Toyota,1199000,2012,12749,Diesel
1025,Hyundai,650000,2013,83466,Diesel
1026,Mahindra,795000,2015,86000,Diesel
1027,Mercedes-Benz,2385000,2015,60921,Petrol
1028,Audi,1700000,2014,78000,Diesel
1029,Hyundai,380000,2012,53000,Petrol
1030,Renault,295000,2016,34736,Petrol
1031,Tata,1750000,2020,14400,Diesel
1032,Mahindra,525000,2015,85000,Diesel
1033,Volkswagen,275000,2011,80000,Petrol
1034,Audi,2180000,2018,77590,Petrol
1035,Ford,8000000,2017,25000,Petrol
1036,Jaguar,4325000,2018,40545,Diesel
1037,Maruti Suzuki,120000,2009,80000,Diesel
1038,Maruti Suzuki,155000,2009,56852,CNG
1039,Maruti Suzuki,735000,2018,42000,Petrol
1040,Skoda,900000,2018,55000,Petrol
1041,Skoda,795000,2014,53000,Petrol
1042,MINI,3300000,2018,17000,Diesel
1043,Toyota,3775000,2020,50000,Diesel
1044,Mahindra,325000,2012,70000,Diesel
1045,Maruti Suzuki,725000,2017,75793,Diesel
1046,Lexus,2100000,2007,34000,Petrol
1047,Volvo,994999,2012,89311,Diesel
1048,Maruti Suzuki,785000,2018,80000,Diesel
1049,Porsche,7500000,2020,38000,Petrol
1050,Toyota,2799000,2019,69500,Diesel
1051,Maruti Suzuki,390000,2018,66794,Petrol
1052,Porsche,9000000,2019,27000,Petrol
1053,Maruti Suzuki,675000,2017,35616,Petrol
1054,Maruti Suzuki,320000,2015,64000,Petrol
1055,Maruti Suzuki,840000,2020,7000,Petrol
1056,Maruti Suzuki,310000,2015,45000,Petrol
1057,Maruti Suzuki,795000,2017,9000,Petrol
1058,Maruti Suzuki,310000,2015,67738,CNG
1059,Toyota,860000,2021,11030,Petrol
1060,Hyundai,390000,2015,49123,Petrol
1061,BMW,1200000,2012,125000,Diesel
1062,Maruti Suzuki,520000,2018,46000,Diesel
1063,Mercedes-Benz,1200000,2000,65000,Petrol
1064,Maruti Suzuki,675000,2018,64000,Diesel
1065,Maruti Suzuki,475000,2021,7942,Petrol
1066,Maruti Suzuki,265000,2017,52100,Petrol
1067,Skoda,950000,2019,32809,Diesel
1068,Toyota,1750000,2014,101000,Diesel
1069,Audi,2225000,2016,40500,Diesel
1070,Jeep,1748999,2021,25700,Petrol
1071,Mercedes-Benz,2250000,2014,85000,Diesel
1072,Hyundai,690000,2017,17268,Petrol
1073,Maruti Suzuki,561000,2017,68000,Petrol
1074,Hyundai,299000,2011,30000,Petrol
1075,Jeep,1580000,2020,57000,Diesel
1076,Maruti Suzuki,595000,2017,44100,Petrol
1077,Land Rover,4390000,2013,91840,Diesel
1078,Hyundai,235000,2009,115000,Petrol
1079,Hyundai,450000,2014,23000,Petrol
1080,BMW,2299000,2014,58000,Diesel
1081,Mercedes-Benz,4590000,2018,95786,Diesel
1082,Audi,2150000,2016,95401,Diesel
1083,Kia,1850000,2020,7000,Petrol
1084,Hyundai,1175000,2017,24000,Petrol
1085,Maruti Suzuki,250000,2012,68000,Petrol
1086,Hyundai,400000,2015,41273,Petrol
1087,Audi,4000000,2018,66000,Diesel
1088,Hyundai,1100000,2018,65954,Diesel
1089,Hyundai,395000,2016,28000,Petrol
1090,Maruti Suzuki,425000,2021,38848,Petrol
1091,Toyota,2190000,2017,30000,Diesel
1092,Lexus,4800000,2020,27000,Hybrid
1093,Maruti Suzuki,421000,2017,69000,Petrol
1094,Hyundai,560000,2016,22700,Petrol
1095,Honda,777000,2014,9212,Petrol
1096,Audi,3250000,2019,41000,Diesel
1097,Mahindra,875000,2014,100000,Diesel
1098,Maruti Suzuki,899000,2018,13066,Petrol
1099,Renault,425000,2015,75000,Diesel
1100,Maruti Suzuki,425000,2019,53241,Petrol
1101,MINI,3875000,2021,12000,Petrol
1102,Honda,500000,2013,65000,Petrol
1103,Toyota,1225000,2012,97000,Diesel
1104,Toyota,1789999,2017,49000,Petrol
1105,Hyundai,240000,2013,64000,Petrol
1106,Volkswagen,240000,2010,78000,Petrol
1107,Honda,935000,2019,56000,Diesel
1108,Maruti Suzuki,775000,2018,39000,Petrol
1109,Mahindra,950000,2017,55000,Diesel
1110,Hyundai,549000,2018,53000,Petrol
1111,Maruti Suzuki,645000,2021,1374,CNG
1112,Mercedes-Benz,3400000,2018,68000,Diesel
1113,Hyundai,645000,2019,35000,Petrol
1114,BMW,2600000,2016,39000,Diesel
1115,Audi,1375000,2011,62000,Diesel
1116,Honda,1340000,2021,11000,Petrol
1117,Maruti Suzuki,840000,2020,11000,Petrol
1118,Maruti Suzuki,525000,2014,102000,Petrol
1119,Maruti Suzuki,625000,2022,7000,Petrol
1120,Hyundai,215000,2012,20000,Petrol
1121,Hyundai,595000,2019,25000,Petrol
1122,Audi,4150000,2022,22000,Petrol
1123,Maruti Suzuki,750000,2018,65000,Diesel
1124,Ford,550000,2013,47000,Petrol
1125,Renault,450000,2016,2000000,Diesel
1126,BMW,4175000,2016,27011,Diesel
1127,Jaguar,2700000,2018,45545,Diesel
1128,Mercedes-Benz,6150000,2018,18000,Diesel
1129,Volkswagen,565000,2014,72782,Petrol
1130,Maruti Suzuki,369000,2017,16800,Petrol
1131,Toyota,1090000,2019,40900,Petrol
1132,Honda,580000,2017,39000,Petrol
1133,BMW,2199000,2016,77000,Diesel
1134,Mahindra,1251000,2018,120000,Diesel
1135,Honda,540000,2017,38700,Petrol
1136,Maruti Suzuki,1245000,2021,7239,Petrol
1137,BMW,4749000,2020,14000,Petrol
1138,Hyundai,365000,2014,76000,Petrol
1139,BMW,4300000,2020,11000,Diesel
1140,Maruti Suzuki,825000,2019,81300,Diesel
1141,Volkswagen,325000,2013,76000,Diesel
1142,Tata,400000,2018,91460,Petrol
1143,Land Rover,3600000,2018,45000,Diesel
1144,Mahindra,671000,2013,47000,Diesel
1145,Mercedes-Benz,3400000,2018,50000,Diesel
1146,BMW,3200000,2014,133273,Diesel
1147,Volkswagen,775000,2017,60500,Petrol
1148,Mercedes-Benz,2150000,2014,81000,Diesel
1149,Land Rover,4700000,2020,22000,Diesel
1150,Ford,145000,2009,88000,Diesel
1151,MINI,3590000,2020,19759,Diesel
1152,Toyota,375000,2011,77000,Petrol
1153,Hyundai,645000,2015,58200,Petrol
1154,Toyota,11500000,2022,4000,Hybrid
1155,Maruti Suzuki,509999,2015,42000,Petrol
1156,Hyundai,545000,2013,63000,Petrol
1157,Honda,835000,2018,42855,Petrol
1158,Renault,960000,2018,24000,Diesel
1159,Maruti Suzuki,540000,2019,34000,Petrol
1160,Kia,1475000,2022,9500,Petrol
1161,Jaguar,3600000,2014,32000,Diesel
1162,Hyundai,1175000,2018,97000,Diesel
1163,Hyundai,475000,2014,72900,Petrol
1164,Audi,9900000,2021,28000,Petrol
1165,Maruti Suzuki,650000,2022,6000,Petrol
1166,BMW,6100000,2021,24500,Diesel
1167,Hyundai,370000,2013,41000,Petrol
1168,Honda,875000,2018,50000,Petrol
1169,Maruti Suzuki,695000,2018,66000,Diesel
1170,Tata,2275000,2022,38000,Diesel
1171,Jeep,2700000,2021,17000,Petrol
1172,Hyundai,545000,2014,74000,Diesel
1173,Maruti Suzuki,540000,2021,22000,Petrol
1174,Skoda,1099000,2018,20690,Petrol
1175,Hyundai,1125000,2019,40000,Diesel
1176,Hyundai,1299000,2018,50000,Petrol
1177,BMW,1600000,2013,70000,Diesel
1178,BMW,10800000,2021,20000,Petrol
1179,Maruti Suzuki,1190000,2020,47248,Petrol
1180,Tata,795000,2021,9000,Petrol
1181,Hyundai,459999,2013,78000,Diesel
1182,Audi,3400000,2018,51000,Diesel
1183,Hyundai,1050000,2018,34841,Petrol
1184,Hyundai,385000,2014,46000,Petrol
1185,Honda,585000,2015,61000,Diesel
1186,Audi,1650000,2014,55000,Diesel
1187,Maruti Suzuki,625000,2020,58736,Petrol
1188,Maruti Suzuki,910000,2019,34000,Petrol
1189,Mahindra,1275000,2018,47000,Diesel
1190,Hyundai,585000,2017,47000,Petrol
1191,Mahindra,1035000,2017,79000,Diesel
1192,Hyundai,1075000,2021,12020,Petrol
1193,Hyundai,1650000,2020,7000,Diesel
1194,Audi,1575000,2014,15000,Diesel
1195,BMW,1950000,2014,82000,Diesel
1196,BMW,6390000,2022,6000,Diesel
1197,Hyundai,1080000,2019,68000,Diesel
1198,Audi,5500000,2017,24000,Diesel
1199,Hyundai,1080000,2020,56000,Diesel
1200,Mahindra,800000,2015,25000,Diesel
1201,Datsun,335000,2017,34000,Petrol
1202,Hyundai,1185000,2021,10700,Petrol
1203,Hyundai,894999,2021,25000,Petrol
1204,Honda,650000,2019,54000,Petrol
1205,Hyundai,550000,2014,75000,Diesel
1206,Maruti Suzuki,550000,2016,88000,Diesel
1207,Audi,1650000,2016,139000,Diesel
1208,Skoda,1600000,2022,1300,Petrol
1209,Hyundai,1175000,2019,20000,Petrol
1210,Mitsubishi,1995000,2018,122000,Diesel
1211,Hyundai,575000,2016,38000,Diesel
1212,MG,1975000,2021,18500,Diesel
